id,transliteration,translation
01cdba65-cee2-4988-b0ee-02dad64dbb5f,2 pí-ri-kà-ni-e šu-ku-tum 2 pí-ri-kà-ni-e en-na-sú-in 2 pí-ri-kà-ni ù ší-it-ru-um ša a-ki-dí-e 0.5 GÍN KÙ.BABBAR i li-bé-e ḫa-nu-ú 1 pí-ri-kà-num 1 ša za-al-pá-a ni-ib-ra-ru-um a-zu-ú ù DINGIR-áš-ra-ni a-ṣé-er a-mur-IŠTAR ub-lu-ú mì-ma pí-ri-kà-ni-e a-ni-ú-tim a-na ta-ad-mì-iq-tim IŠTAR-lá-ma-sí ta-ta-dí-in,"2 pirikannus: Šukkutum; 2 pirikannus: Enna-Suen; 2 pirikannus and an Akkadian undergarment, (and) 0.5 shekel silver owed by Hanu; 1 pirikannu, 1 from Zalpe, a nibrāru, Azu and Ilī-ašrannī brought to Amur-Ištar. All these pirikannus Ištar-lamassī has given as free loans."
020aa8bd-69a4-43a9-8120-efd9e587bb1c,i-ku-pí-a ù en-um-a-šur iṣ-bu-tù-ni-a-tí-ma um-ma i-ku-pì-a-ma a-na en-um-a-šur-ma 5 GÚ URUDU ma-sí-am ša-bu-ra-am ḫu-ub-lam-ma PUZUR₄-{d}UTU li-pu-ul-kà 5 GÚ URUDU ma-sí-am ša-bu-ra-am en-um-a-šur a-na i-ku-pí-a iḫ-bu-ul-ma PUZUR₄-{d}UTU en-um-a-šur e-pu-ul um-ma PUZUR₄-{d}UTU-ma a-na 15 u₄-me-e 5 GÚ URUDU-a-kà a-na-ku a-ša-qá-lá-ku-um um-ma en-um-a-šur-ma šu-ma-ba i-na 15 u₄-me-e u₄-mu-ú mì-ma e-ta-at-qú um-ma i-ku-pí-a-ma 5 GÚ URUDU-a-kà ma-sí-am ša-bu-ra-am PUZUR₄-{d}UTU li-iš-qú-lá-kum a-na ṣí-ib-tim ma-lá u₄-mu e-tí-qú-ni-ni i-a-tí URUDU a-nim a-na 4 u₄-me DINGIR i-ša-ḫi-iṭ-ma ḫa-muš-tum ša {d}IM-ṣú-lu-li <gap> ITU.KAM ku-zal-li li-mu-um ṣí-lu-lu um-ma i-ku-pí-a-ma a-na en-um-a-šur-ma i-nu-mì a-na pu-ru-uš-ḫa-dim té-ra-ba-ni ù a-ta ša KÙ.BABBAR 1 ma-na ù 2 ma-na a-na-aḫ-ta-kà ta-lá-qé-ma ù a-na-ku lá-ag-mì-il₅-kà a-na a-wa-tim a-ni-a-tim kà-ru-um wa-aḫ-šu-ša-na i-dí-ni-a-tí-ma IGI GÍR ša a-šu,"Ikūn-pīya and Ennam-Aššur seized us, and Ikūn-pīya said to Ennam-Aššur: Lend me 5 talents of washed, broken copper, and have Puzur-Šamaš reimburse you."" Ennam-Aššur lent 5 talents of washed, broken copper to Ikūn-pīya and Puzur-Šamaš should reimburse Ennam-Aššur. Puzur-Šamaš said: ""Within 15 days I shall personally pay you your 5 talents of copper."" Ennam-Aššur answered: ""What then if indeed on the 15th day your terms become exceeded at all?"" Ikūn-pīya answered: ""Let Puzur-Šamaš pay you your 5 talents of washed, broken copper. As for the interest, as much as the term is exceeded this copper is my obligation."" In 4 days the god will rise and it is the week of Adad-ṣulūlī <gap> month Kuzallu, eponymy Ṣilūlu. Ikūn-pīya continued saying to Ennam-Aššur: ""When you arrive at Purušhaddum, then you will personally receive your earnings from 1 or 2 minas of silver, and thus I shall do you a favour myself."" The Wahšušana colony gave us for these proceedings and we gave our testimony before Aššur's dagger. Witnessed by Aššur-idī, by Elāli; Puzur-ilī son of Balzuenum was our (absent) partner. """
0225bc1b-0bca-4fdc-820e-691e96f08e25,um-ma i-tur₄-DINGIR-ma a-na en-um-a-šur ù a-lá-ḫi-im qí-bi-ma a-pu-tum a-pu-tum ra-ma-ku-nu za-ki-a-ma mì-ma URUDU a-na bu-ru-uš-ḫa-dim lá tù-šé-ba-lá a-ma-tum-ma a-ba-tí-iq ú ú-tù-ur dí-na-ma KÙ.BABBAR le-qé-a-ma tí-ib-a-ni-ma a-tal-kà-nim a ma-lá i pá-ni-tim a-na be-el KÙ.BABBAR ú-sá-li-ú-ma lá im-gu₅-ru-ni-ni ú-ma-am im-ta-ag-ru-ni,"From Itūr-ilī to Ennam-Aššur and Ali-ahum: Urgent, urgent, clear yourselves and do not send any copper to Burušhaddum! Sell even the slave-girls for any price, take the silver and set out and come! As I previously pleaded with the financiers and they did not agree - today they have agreed!"
02351a98-b66c-42eb-90a7-11d834afe8e8,a-na ša-lim-a-šùr qí-bi-ma um-ma i-dí-a-bu-um i-tur₄-DINGIR i-na-aḫ-DINGIR en-um-a-šùr ù a-la-ḫu-um-ma ta-áš-pu-ra-am um-ma a-ta-ma <gap> ku-ta-nu a-ḫa-ma 92 TÚG a-ba-ar-ni-ú <gap>-a-šùr qí-ip-tim <gap> ku-ta-ni <gap> bu-ra-e <gap> ta-áš-pu-ra-ni <gap> ku <gap>-at-ma a-ta a-ma-kam <gap> nim <gap> mu-ur ŠU.NÍGIN ṣú-ba-tí-kà <gap> me-at <gap> TÚG.ḪI-a i-ŠÀ 4 ku-sí-a-tim 2 TÚG bu-ra-e a-na 27.8333 ma-na 2 GÍN AN.NA <gap>-nim ta-la-qé 1 me-at <gap> ṣú-ba-tù <gap> lu ku-ta-nu <gap> 7 TÚG a-ba-ar-ni-ú <gap> TÚG kam-sú-tim dam-qú-tim 1 ku-ta-num ù ku-<gap>-ar ir-<gap> i-na <gap>-a-šùr <gap> 30 TÚG ku-ta-ni SIG₅ <gap> e-zi-ib 4 TÚG <gap>-šu 11 ma-na <gap>-6 GÍN <gap> ri <gap> ta-ma <gap> 4 me-at 7 <gap>-tim <gap> 50 TÚG a-na <gap> 7 TÚG ni-is-ḫa-tum <gap> 20 <gap> a-na <gap> ú 3 me-at 17 <gap> TÚG ša li-we-tim <gap> TÚG ku-ta-nu-kà <gap> kur-ub-IŠTAR 5 <gap> ku-nu-ki <gap> ku-ta-nu i-na É <gap>-kà i-ba-ší-ú i-na <gap> ša a-na a-la-ḫi-im ta-dí-nu <gap> ANŠE i-n,"To Šalim-Aššur from Iddin-abum, Itūr-ilī, Inah-ilī, Ennam-Aššur and Ali-ahum: You have written us, saying: x, further, 92 Abarnian textiles, <gap>"" <gap> -Aššur <gap> of credit <gap> -textiles that you wrote <gap> you must <gap> there; <gap> total of your textiles: <gap> hundred textiles; thereof 4 robes, 2 -textiles you will receive for 27.8333 minas 2 shekels of tin <gap> 100 <gap> textiles <gap> either <gap> 7 Abarnian textiles <gap> fine -textiles <gap> 1 <gap> 30 fine -textiles <gap> apart from 4 textiles <gap>50 textiles for <gap> 7 textiles, the import duty, <gap> textiles for the wrapping <gap> your -textiles <gap> Kurub-Ištar <gap> sealed <gap> in the house <gap> are available <gap> that you gave to Ali-ahum, <gap> donkeys died during the journey, their <gap> he bought for 32 shekels of silver; 23 donkeys has <gap>-Aššur <gap> to Burušhaddum; <gap> 10 donkeys Ali-ahum left in support of your goods. 1 donkey <gap> bought. Of the 2 minas of silver that you gave for his disposal 32 shekels of silver he paid as the price of <gap> For the rest of your silver, <gap> minas 2 shekels of his tin 600 nails <gap> I returned to you. 86 green ones <gap> of the wool <gap> 5 minas 8 shekels of tin <gap> 24 minas each. 1 talent of copper that your eye <gap> and 4 <gap> 20-<gap> minas 5 shekels of tin under your seal <gap> that when they <gap> released, now, 4 talents 12 minas of theirs; 27! 0.8333 minas 2 shekels of tin he received for 4 robes and 2 -textiles, and your tin, 5 talents 57 minas 7 shekels - 4 talents <gap> Dadaya <gap> Qaqqadānum <gap> and 0.5 mina Aššur-<gap> of 48 <gap> Uzuwa to Kanesh <gap> tin and textiles 10 <gap> 10.5 minas of tin <gap> to the son of Ikra<gap> the rest of your tin: 30 <gap> in <gap>"""
025cc1cc-8958-4757-9bc3-99f5746846dc,a-na a-lá-ḫi-im ú a-šur-ma-lik qí-bi₄-ma um-ma i-dí-a-bu-um-ma áš-pu-ra-ku-nu-tí iš-tí be-lúm-ba-ni um-ma a-na-ku-ma a-šur-be-el-SA.TU DUMU a-lá-ḫi-im KÙ.BABBAR a-na a-lim{ki} a-na ší-a-ma-tim i-dí-nam ma-lá ta-le-e-a-ni a-wa-tám bu-ut-qá-ma ú tí-ir-ta-ak-nu li-li-kam-ma KÙ.BABBAR ú-šé-bi₄-lá-ku-nu-tí-ma šu-uq-lá-šu-um a-ḫu-ú-a a-tù-nu lu a-wa-tum ba-at-qá-at a-ni-tum lá a-ni-tum tí-ir-ta-ak-nu li-li-kam-ma uz-ni pè-té-a a-ḫu-ú-a a-tù-nu iḫ-da,"To Ali-ahum and Aššur-malik from Iddin-abum: I wrote to you with Bēlum-bāni, saying: Aššur-bēl-šadu'e son of Ali-ahum gave me silver for purchases in the City."" Settle the affair as well as you can and then send me word so I can send you silver and you can pay him. My dear brothers, send me word and inform me one way or the other whether the affair has been settled. My dear brothers, take care. """
02679472-38ae-4f0b-a3cb-c3ae24e6d239,<gap> a-ki-dí-e ku-nu-ki-a 1 ANŠE ṣa-lá-ma-am ša-lim-be-lí ú a-šur-pí-lá-aḫ na-áš-ú-ni-ku-nu-tí 15 GÍN KÙ.BABBAR ší-im ANŠE a-ḫa-ma 6 GÍN KÙ.BABBAR ku-ta-nam a-dí-šu-nu-tí KÙ.BABBAR 0.3333 ma-na 1 GÍN pá-zu-ur-tí-šu-nu ša-bu-ú TÚG ku-nu-ki-a li-im-nu-ú-ni-ku-nu-tí-ma ú TÚG ša É a-lá-ḫi-im e-zi-bu-ni a-na ú-ku pí-iq-da-ma a-na dur₄-ḫu-mì-it a-na ṣé-ri-a lu-ub-lam 4 ma-na AN.NA ku-nu-ki-a ú-ku na-áš-a-ku-nu-tí a-ma-kam šu-ma ANŠE i-ḫa-ša-aḫ ANŠE ša-ma-šu-um ú sá-ḫi-ir-tám ša-ma-šu-um ANŠE ṣa-lá-ma-UM ú ú-nu-ut ANŠE a-ší-ni <gap> sú ú ší-na pa-li-li ša ša-lim-be-lí ú a-šur-pí-lá-aḫ i-ra-dí-ú-ni-ku-nu-tí-ni a-na ú-ku dí-na-ma TÚG li-is-ri-dam <gap> na-ru-qá-tim ú iš-ri-im dí-in <gap> a-na na-ḫu-ur ṭur₄-da-ni-šu <gap> na-áp-ri-sí a-ma-kam <gap> lu-ub-lam a-ga-da-tim <gap>-na-áš-a-kum,"<gap> Akkadian textiles under my seal, 1 black donkey, this Šalim-bēlī and Aššur-pilah bring to you (plural). I gave them 15 shekels of silver, the price of a donkey; further, 6 shekels of silver (and) a . They have been paid in silver 0.3333 mina 1 shekel for their smuggling. Let them count the textiles under my seal for you, and then entrust the textiles that I left in Ali-ahum's house to Uku and have him bring them to me in Durhumit. Uku brings you 4 minas of tin under my seal. If he wants a donkey there, buy him a donkey. Also, buy him small goods. Give Uku a black donkey plus the donkey's harness <gap> plus 2 that Šalim-bēlī and Aššur-pliah lead to you and have him pack the textiles. Give <gap> sacks <gap> send him to Nahur <gap> my chisel <gap> let him bring there <gap> he brings to you."
02d16b63-3fab-4c1d-8262-4cd74f6532f1,9 GÍN AN.NA e-lu-ḫu-ut 10 GÍN AN.NA ú šál-ša-tim en-na-nu-um <gap> ma-na <gap>,9 shekels of tin: Eluhut;
02de3489-7e0e-40fb-878d-141b28b7d6ff,KIŠIB a-šur-i-mì-tí DUMU a-mur-lu-ṣú KIŠIB a-bu-ša-lim DUMU a-šùr-e-mu-qí a-na a-wa-tim a-ni-a-tim ša ili₅-ba-ni DUMU a-mur-a-šur ù a-ḫu-qar DUMU šu-IŠTAR GÍR ša a-šùr iṣ-bu-tù-ni-ma a-šùr-i-mì-tí DUMU a-mur-lu-ṣú ù a-bu-ša-lim DUMU a-šùr-e-mu-qí pí-šu-nu iš-me-ú-ni <gap>-ni <gap> a-šur <gap> ṭup-pu <gap> a-bi-ni,"Seal of Aššur-imittī son of Amur-luṣu, seal of Abu-šalim son of Aššur-emūqī. For these proceedings concerning Ilī-bāni son of Amur-Aššur and Ahu-waqar son of Šu-Ištar - they seized Aššur's dagger and Aššur-imittī son of Amur-luṣu and Abu-šalim son of Aššur-emūqī heard their statement. <gap>"
02df45ee-6d74-46fb-9870-3e546ce7d304,a-na PUZUR₄-{d}IM lá-dí-a en-um-a-šur en-na-sú-in a-šur-i-dí i-ku-pí-a ù li-lá qí-bi-ma um-ma en-um-a-šùr ù a-lá-ḫu-um-ma i-na 40 GÚ URUDU SIG₅ ša i-dí-a-šur um-me-a-ni e-pu-lu ša 22 GÚ URUDU SIG₅ ša li-bi₄ a-lá-ḫi-im KÙ.BABBAR-áp-šu a-na-kam né-nu um-me-a-ni nu-ṭá-ib ŠÀ.BA ša 22 GÚ URUDU qá-ta-tí-šu-nu ì-lí-a i-tur₄-DINGIR ù i-dí-ku-bu-um KÙ.BABBAR-áp-šu il₅-qé-ú ší-tí URUDU 18 GÚ 6 ma-na URUDU i li-bi i-dí-a-šur a-lá-an a-nim mì-ma i li-bi-šu ú-lá i-ba-ší šu-ma a-na qá-ta-tí-šu-nu en-um-a-šur ù i-ku-pí-a i-ma-ṣí-ú qá-ta-tí-šu-nu li-il₅-qé-ú-ma ší-bi šu-uk-na-šu-nu-tí bé-lu-ni a-tù-nu ú tí-ir-ta-ku-nu li-li-kam ù bé-lu KÙ.BABBAR ma-du-tum ša lá il₅-qé-ú-ni a-ḫu-ru,"To Puzur-Adad, Ladiya, Ennam-Aššur, Enna-Suen, Aššur-idī, Ikūn-pīya and Lila from Ennam-Aššur and Ali-ahum: Of the 40 talents of good copper about which Iddin-Aššur reached an agreement with the investors, we have here satisfied in silver the investors for the 22 talents of good copper that was in Ali-ahum's possession. Thereof, for the 22 talents of copper, their shares, Iliya, Itūr-ilī and Iddin-Kūbum have received its value in silver. The rest of the copper, 18 talents 6 minas of copper, is in Iddin-Aššur's possession. Apart from this nothing is in his possession. If Ennam-Aššur and Ikūn-pīya take responsibility for their shares, they may receive their shares, but set witnesses for them. Our dear lords, also, send us word, for a great many creditors who have received nothing remain."
02f0ecc7-746b-449d-803c-c05ebbda2336,kà-ru-um dí-nam i-dí-in-ma ša-lim-a-šùr ṭup-pu-šu a ší-bi-šu ma-lá KÙ.BABBAR a-na ḫu-bu-ul i-dí-a-bi-im ú-ša-qí-lu ŠU.NÍGIN KÙ.BABBAR a-na me-er-e i-dí-a-bi-im i-qá-bi um-ma šu-ut-ma KÙ.BABBAR a-nim a-ḫa-a ú-ša-qí-il₅,"The colony has passed a verdict stating that Šalim-Aššur must mention to the sons of Iddin-abum his tablets for his witnesses to how much silver - all the silver - he has paid to cover Iddin-abum's debt. He is to say: This silver I paid in different places."""""
0309d067-0bb7-40f6-9d27-1dfb0c60e507,23.5 GÚ SÍG.ḪI.A 66 maš-ku 10 ANŠE ṣa-lá-mu ú ú-nu-sú-nu 25 TÚG.ḪI.A mì-ma a-nim i ša-ni-tim šé-pí-šu-nu 10 GÍN AN.NA 2 šé-ni-in ša sí-ni-iš-tim 8 šé-ni ša ṣú-ùḫ-ri-im 3 ma-ar-šu e-ba-du-ni du-ug-li mì-ma a-nim a-na qá-tí-šu-nu a-dí-in e-zi-ib sà-ḫe-er-tám ša i pá-ni-tim a qá-tí-šu-nu a-dí-nu-ni 19 GÚ 20 ma-na SÍG.ḪI.A me-at 2 maš-ku i šé-ep a-šu-ú-ma-an i-li-ik,"23.5 talents of wool, 66 fleeces, 10 black donkeys plus their harness, 25 textiles - all this in their second transport."
035670c1-3504-4084-a2e6-1ff68ade4c74,<gap> ša-lim-ar-dí ú šu-nu-nu áp-qí-id IGI a-šùr-i-dí DUMU mu-mu-lá-nim IGI a-šur-ta-ak-lá-ku DUMU i-ku-nim DUMU sá-ma-a mì-ma a-nim a dur₄-ḫu-mì-it <gap> ša ki-ma i-a-tí ú-šé-bi₄-il₅,"<gap> I entrusted to Šalim-wardī and Šu-Nūnu. Witnessed by Aššur-idī son of Mu-mulānum, by Aššur-taklāku son of Ikūnum son of Samaya. "
